Individual/SHOP,Exchange_Type,State,Issuer_Name,Issuer_ID,Is_Issuer_New_to_Exchange?(Yes_or_No),SADP_Only,Plan_ID,Plan_Type,QHP or SADP?,Metal_Level,URL_Claims_Payment_Policies,Issuer_Claims_Received_Out_of_Network,Issuer_Claims_Received_In_Network,Issuer_Claims_Denied_Out_of_Network,Issuer_Claims_Denied_In_Network,Issuer_Claims_Resubmitted_Out_of_Network,Issuer_Claims_Resubmitted_In_Network,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received_Out_of_Network,Plan_Number_Claims_Received_In_Network,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_In_Network,Plan_Number_Claims_Resubmitted_Out_of_Network,Plan_Number_Claims_Resubmitted_In_Network,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Due_To_Out_Of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only,Plan_Number_Claims_Denied_Due_To_Enrolle_Benefit_Limit_Reached,Plan_Number_Claims_Denied_Due_To_Member_Not_Covered,Plan_Number_Claims_Denied_Due_To_Investigational_Experimental_Cosmetic_Proceduce,Plan_Number_Claims_Denied_Due_To_Administrative_Reason,Plan_Number_Claims_Denied_Other,Rate_Review,Financial_Information,Average Monthly Enrollment,Average Monthly Disenrollment,source_sheet,Issuer_Claims_Received_Out_of_Network_suppressed,Issuer_Claims_Received_In_Network_suppressed,Issuer_Claims_Denied_Out_of_Network_suppressed,Issuer_Claims_Denied_In_Network_suppressed,Issuer_Claims_Resubmitted_Out_of_Network_suppressed,Issuer_Claims_Resubmitted_In_Network_suppressed,Issuer_Internal_Appeals_Filed_suppressed,Issuer_Number_Internal_Appeals_Overturned_suppressed,Issuer_Percent_Internal_Appeals_Overturned_suppressed,Issuer_External_Appeals_Filed_suppressed,Issuer_Number_External_Appeals_Overturned_suppressed,Issuer_Percent_External_Appeals_Overturned_suppressed,Plan_Number_Claims_Received_Out_of_Network_suppressed,Plan_Number_Claims_Received_In_Network_suppressed,Plan_Number_Claims_Denied_Out_of_Network_suppressed,Plan_Number_Claims_Denied_In_Network_suppressed,Plan_Number_Claims_Resubmitted_Out_of_Network_suppressed,Plan_Number_Claims_Resubmitted_In_Network_suppressed,Plan_Number_Claims_Denied_Referral_Required_suppressed,Plan_Number_Claims_Denied_Due_To_Out_Of_Network_suppressed,Plan_Number_Claims_Denied_Services_Excluded_suppressed,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excluding_Behavioral_Health_suppressed,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only_suppressed,Plan_Number_Claims_Denied_Due_To_Enrolle_Benefit_Limit_Reached_suppressed,Plan_Number_Claims_Denied_Due_To_Member_Not_Covered_suppressed,Plan_Number_Claims_Denied_Due_To_Investigational_Experimental_Cosmetic_Proceduce_suppressed,Plan_Number_Claims_Denied_Due_To_Administrative_Reason_suppressed,Plan_Number_Claims_Denied_Other_suppressed,Average Monthly Enrollment_suppressed,Average Monthly Disenrollment_suppressed,rule_anomaly,rule_reason,ml_prediction,ml_anomaly,ml_anomaly_score,final_anomaly,anomaly_type,severity
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0070013,PPO,QHP,Gold,https://www.bcbswy.com/QHPTransparency,28568.0,1305051.0,10747.0,229909.0,1445.0,178376.0,434.0,173.0,39.86,,,,2466.0,104030.0,1400.0,20334.0,108.0,14915.0,2030.0,42.0,6646.0,21.0,0.0,1838.0,4473.0,177.0,14394.0,1823.0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53767&:refresh,186.0,18.0,Ind_QHP,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,1,False,0.08272205440470104,False,NORMAL,NORMAL
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0070014,PPO,QHP,Silver,https://www.bcbswy.com/QHPTransparency,28568.0,1305051.0,10747.0,229909.0,1445.0,178376.0,434.0,173.0,39.86,,,,861.0,20613.0,352.0,4277.0,14.0,2508.0,615.0,,1216.0,,37.0,366.0,1366.0,89.0,2343.0,280.0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53767&:refresh,29.0,,Ind_QHP,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,False,,1,False,0.1498514195300794,False,NORMAL,NORMAL
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0070016,PPO,QHP,Silver,https://www.bcbswy.com/QHPTransparency,28568.0,1305051.0,10747.0,229909.0,1445.0,178376.0,434.0,173.0,39.86,,,,344.0,32158.0,181.0,6164.0,43.0,4503.0,663.0,,1840.0,14.0,84.0,438.0,1197.0,91.0,4380.0,407.0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53767&:refresh,49.0,,Ind_QHP,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,False,,1,False,0.13788911321084868,False,NORMAL,NORMAL
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0070025,PPO,QHP,Gold,https://www.bcbswy.com/QHPTransparency,28568.0,1305051.0,10747.0,229909.0,1445.0,178376.0,434.0,173.0,39.86,,,,3944.0,186168.0,1562.0,29288.0,228.0,24863.0,3075.0,59.0,10329.0,132.0,88.0,2803.0,4939.0,472.0,23457.0,2398.0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53767&:refresh,454.0,37.0,Ind_QHP,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,1,False,0.03641020192853289,False,NORMAL,NORMAL
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0070026,PPO,QHP,Bronze,https://www.bcbswy.com/QHPTransparency,28568.0,1305051.0,10747.0,229909.0,1445.0,178376.0,434.0,173.0,39.86,,,,900.0,26841.0,339.0,4886.0,24.0,3468.0,575.0,,1833.0,,,462.0,1036.0,82.0,3218.0,283.0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53767&:refresh,108.0,13.0,Ind_QHP,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,False,,1,False,0.1403062525641497,False,NORMAL,NORMAL
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0170016,PPO,QHP,Silver,https://www.bcbswy.com/QHPTransparency,28568.0,1305051.0,10747.0,229909.0,1445.0,178376.0,434.0,173.0,39.86,,,,413.0,41483.0,166.0,7070.0,25.0,4798.0,566.0,,2224.0,,39.0,775.0,1183.0,100.0,4707.0,665.0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53767&:refresh,49.0,,Ind_QHP,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,False,,1,False,0.13644465409954398,False,NORMAL,NORMAL
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0170017,PPO,QHP,Gold,https://www.bcbswy.com/QHPTransparency,28568.0,1305051.0,10747.0,229909.0,1445.0,178376.0,434.0,173.0,39.86,,,,1751.0,113676.0,775.0,20946.0,118.0,17993.0,2526.0,26.0,7267.0,62.0,144.0,1993.0,2971.0,177.0,15945.0,1694.0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53767&:refresh,233.0,26.0,Ind_QHP,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,1,False,0.06520977557127988,False,NORMAL,NORMAL
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0170018,PPO,QHP,Silver,https://www.bcbswy.com/QHPTransparency,28568.0,1305051.0,10747.0,229909.0,1445.0,178376.0,434.0,173.0,39.86,,,,3405.0,192119.0,1557.0,33150.0,322.0,27374.0,3296.0,38.0,12771.0,149.0,217.0,3498.0,3151.0,375.0,23201.0,2658.0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53767&:refresh,315.0,30.0,Ind_QHP,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,1,False,0.023345921149463433,False,NORMAL,NORMAL
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0170020,PPO,QHP,Bronze,https://www.bcbswy.com/QHPTransparency,28568.0,1305051.0,10747.0,229909.0,1445.0,178376.0,434.0,173.0,39.86,,,,2839.0,21113.0,392.0,4343.0,31.0,3166.0,454.0,32.0,1597.0,14.0,414.0,395.0,637.0,23.0,3043.0,256.0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53767&:refresh,63.0,,Ind_QHP,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,,1,False,0.13652717674934156,False,NORMAL,NORMAL
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0170021,PPO,QHP,Silver,https://www.bcbswy.com/QHPTransparency,28568.0,1305051.0,10747.0,229909.0,1445.0,178376.0,434.0,173.0,39.86,,,,,,,,,,,,,,,,,,,,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53767&:refresh,,,Ind_QHP,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,False,,1,False,0.18047696858124468,False,NORMAL,NORMAL
