Individual/SHOP,Exchange_Type,State,Issuer_Name,Issuer_ID,Is_Issuer_New_to_Exchange?(Yes_or_No),SADP_Only,Plan_ID,Plan_Type,QHP or SADP?,Metal_Level,URL_Claims_Payment_Policies,Issuer_Claims_Received_Out_of_Network,Issuer_Claims_Received_In_Network,Issuer_Claims_Denied_Out_of_Network,Issuer_Claims_Denied_In_Network,Issuer_Claims_Resubmitted_Out_of_Network,Issuer_Claims_Resubmitted_In_Network,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received_Out_of_Network,Plan_Number_Claims_Received_In_Network,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_In_Network,Plan_Number_Claims_Resubmitted_Out_of_Network,Plan_Number_Claims_Resubmitted_In_Network,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Due_To_Out_Of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only,Plan_Number_Claims_Denied_Due_To_Enrolle_Benefit_Limit_Reached,Plan_Number_Claims_Denied_Due_To_Member_Not_Covered,Plan_Number_Claims_Denied_Due_To_Investigational_Experimental_Cosmetic_Proceduce,Plan_Number_Claims_Denied_Due_To_Administrative_Reason,Plan_Number_Claims_Denied_Other,Rate_Review,Financial_Information,Average Monthly Enrollment,Average Monthly Disenrollment,source_sheet,Issuer_Claims_Received_Out_of_Network_suppressed,Issuer_Claims_Received_In_Network_suppressed,Issuer_Claims_Denied_Out_of_Network_suppressed,Issuer_Claims_Denied_In_Network_suppressed,Issuer_Claims_Resubmitted_Out_of_Network_suppressed,Issuer_Claims_Resubmitted_In_Network_suppressed,Issuer_Internal_Appeals_Filed_suppressed,Issuer_Number_Internal_Appeals_Overturned_suppressed,Issuer_Percent_Internal_Appeals_Overturned_suppressed,Issuer_External_Appeals_Filed_suppressed,Issuer_Number_External_Appeals_Overturned_suppressed,Issuer_Percent_External_Appeals_Overturned_suppressed,Plan_Number_Claims_Received_Out_of_Network_suppressed,Plan_Number_Claims_Received_In_Network_suppressed,Plan_Number_Claims_Denied_Out_of_Network_suppressed,Plan_Number_Claims_Denied_In_Network_suppressed,Plan_Number_Claims_Resubmitted_Out_of_Network_suppressed,Plan_Number_Claims_Resubmitted_In_Network_suppressed,Plan_Number_Claims_Denied_Referral_Required_suppressed,Plan_Number_Claims_Denied_Due_To_Out_Of_Network_suppressed,Plan_Number_Claims_Denied_Services_Excluded_suppressed,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excluding_Behavioral_Health_suppressed,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only_suppressed,Plan_Number_Claims_Denied_Due_To_Enrolle_Benefit_Limit_Reached_suppressed,Plan_Number_Claims_Denied_Due_To_Member_Not_Covered_suppressed,Plan_Number_Claims_Denied_Due_To_Investigational_Experimental_Cosmetic_Proceduce_suppressed,Plan_Number_Claims_Denied_Due_To_Administrative_Reason_suppressed,Plan_Number_Claims_Denied_Other_suppressed,Average Monthly Enrollment_suppressed,Average Monthly Disenrollment_suppressed,ml_prediction,ml_anomaly,ml_anomaly_score,final_anomaly,anomaly_type,severity,rule_anomaly,rule_name,rule_reason,rule_severity,explanation,likely_cause,recommended_fix
Individual,FFE,WI,Common Ground Healthcare Cooperative,87416,No,No,87416WI0060015,EPO,QHP,Bronze,https://www.caresource.com/wi/plans/marketplace/plan-documents/general-plan-information/,28650.0,1504864.0,26485.0,143772.0,1677.0,60799.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,6674.0,88.0,491.0,0.0,155.0,28.0,88.0,124.0,0.0,0.0,,,0.0,340.0,0.0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15061&:refresh,29.0,,Ind_QHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,False,0.1648070292576959,False,NORMAL,NORMAL,False,NONE,No rule violation detected,,No anomaly detected.,No immediate data-quality issue identified.,No action required.
Individual,FFE,WI,Common Ground Healthcare Cooperative,87416,No,No,87416WI0060023,EPO,QHP,Bronze,https://www.caresource.com/wi/plans/marketplace/plan-documents/general-plan-information/,28650.0,1504864.0,26485.0,143772.0,1677.0,60799.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,41338.0,531.0,4234.0,21.0,1352.0,372.0,594.0,610.0,28.0,,123.0,51.0,0.0,3482.0,,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15061&:refresh,160.0,18.0,Ind_QHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,False,0.1458739885629239,False,NORMAL,NORMAL,False,NONE,No rule violation detected,,No anomaly detected.,No immediate data-quality issue identified.,No action required.
Individual,FFE,WI,Common Ground Healthcare Cooperative,87416,No,No,87416WI0060025,EPO,QHP,Gold,https://www.caresource.com/wi/plans/marketplace/plan-documents/general-plan-information/,28650.0,1504864.0,26485.0,143772.0,1677.0,60799.0,0.0,0.0,0.0,0.0,0.0,0.0,,3082.0,,194.0,,90.0,39.0,,44.0,0.0,0.0,,15.0,0.0,145.0,0.0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15061&:refresh,,,Ind_QHP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,False,0.163066718433571,False,NORMAL,NORMAL,False,NONE,No rule violation detected,,No anomaly detected.,No immediate data-quality issue identified.,No action required.
Individual,FFE,OK,Blue Cross Blue Shield of Oklahoma,87571,No,No,87571OK0350068,PPO,QHP,Bronze,https://www.bcbsok.com/member/transparency-in-coverage,856070.0,8439891.0,280000.0,1385537.0,24407.0,161891.0,4404.0,1305.0,29.63,50.0,22.0,44.0,3038.0,21389.0,984.0,3378.0,119.0,409.0,86.0,,649.0,93.0,,0.0,998.0,14.0,1105.0,1684.0,https://ratereview.healthcare.gov/,Missing URL,30.0,,Ind_QHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,False,0.1325863561258395,False,NORMAL,NORMAL,False,NONE,No rule violation detected,,No anomaly detected.,No immediate data-quality issue identified.,No action required.
Individual,FFE,OK,Blue Cross Blue Shield of Oklahoma,87571,No,No,87571OK0350069,PPO,QHP,Silver,https://www.bcbsok.com/member/transparency-in-coverage,856070.0,8439891.0,280000.0,1385537.0,24407.0,161891.0,4404.0,1305.0,29.63,50.0,22.0,44.0,1304.0,31802.0,614.0,6976.0,63.0,577.0,82.0,,830.0,104.0,,0.0,3809.0,12.0,737.0,2463.0,https://ratereview.healthcare.gov/,Missing URL,32.0,,Ind_QHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,False,0.1258442867085,False,NORMAL,NORMAL,False,NONE,No rule violation detected,,No anomaly detected.,No immediate data-quality issue identified.,No action required.
Individual,FFE,OK,Blue Cross Blue Shield of Oklahoma,87571,No,No,87571OK0350070,PPO,QHP,Bronze,https://www.bcbsok.com/member/transparency-in-coverage,856070.0,8439891.0,280000.0,1385537.0,24407.0,161891.0,4404.0,1305.0,29.63,50.0,22.0,44.0,3928.0,98918.0,1571.0,14323.0,145.0,1717.0,417.0,,4449.0,520.0,21.0,,2342.0,71.0,2531.0,6981.0,https://ratereview.healthcare.gov/,Missing URL,157.0,13.0,Ind_QHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,False,0.0960736793174175,False,NORMAL,NORMAL,False,NONE,No rule violation detected,,No anomaly detected.,No immediate data-quality issue identified.,No action required.
Individual,FFE,OK,Blue Cross Blue Shield of Oklahoma,87571,No,No,87571OK0350083,PPO,QHP,Bronze,https://www.bcbsok.com/member/transparency-in-coverage,856070.0,8439891.0,280000.0,1385537.0,24407.0,161891.0,4404.0,1305.0,29.63,50.0,22.0,44.0,57.0,4779.0,15.0,611.0,,58.0,16.0,,126.0,40.0,,0.0,42.0,,82.0,363.0,https://ratereview.healthcare.gov/,Missing URL,,,Ind_QHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,False,0.1378376488784156,False,NORMAL,NORMAL,False,NONE,No rule violation detected,,No anomaly detected.,No immediate data-quality issue identified.,No action required.
Individual,FFE,OK,Blue Cross Blue Shield of Oklahoma,87571,No,No,87571OK0350084,PPO,QHP,Bronze,https://www.bcbsok.com/member/transparency-in-coverage,856070.0,8439891.0,280000.0,1385537.0,24407.0,161891.0,4404.0,1305.0,29.63,50.0,22.0,44.0,3314.0,87216.0,1113.0,12293.0,78.0,1450.0,515.0,25.0,2760.0,378.0,34.0,23.0,1193.0,33.0,2838.0,6540.0,https://ratereview.healthcare.gov/,Missing URL,175.0,19.0,Ind_QHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,0.1111908182804312,False,NORMAL,NORMAL,False,NONE,No rule violation detected,,No anomaly detected.,No immediate data-quality issue identified.,No action required.
Individual,FFE,OK,Blue Cross Blue Shield of Oklahoma,87571,No,No,87571OK0350085,PPO,QHP,Bronze,https://www.bcbsok.com/member/transparency-in-coverage,856070.0,8439891.0,280000.0,1385537.0,24407.0,161891.0,4404.0,1305.0,29.63,50.0,22.0,44.0,2548.0,57147.0,920.0,10000.0,111.0,1155.0,198.0,52.0,1586.0,393.0,,50.0,1354.0,12.0,1774.0,6115.0,https://ratereview.healthcare.gov/,Missing URL,89.0,12.0,Ind_QHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,False,0.1177995878416535,False,NORMAL,NORMAL,False,NONE,No rule violation detected,,No anomaly detected.,No immediate data-quality issue identified.,No action required.
Individual,FFE,OK,Blue Cross Blue Shield of Oklahoma,87571,No,No,87571OK0350086,PPO,QHP,Bronze,https://www.bcbsok.com/member/transparency-in-coverage,856070.0,8439891.0,280000.0,1385537.0,24407.0,161891.0,4404.0,1305.0,29.63,50.0,22.0,44.0,15774.0,157999.0,5397.0,23726.0,497.0,3237.0,689.0,56.0,5403.0,807.0,71.0,48.0,3731.0,83.0,7340.0,13050.0,https://ratereview.healthcare.gov/,Missing URL,330.0,51.0,Ind_QHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,0.0682614130379581,False,NORMAL,NORMAL,False,NONE,No rule violation detected,,No anomaly detected.,No immediate data-quality issue identified.,No action required.
